NAMES,REVIEWS,RATING
Amazon Customer,"

  Purchased less than a week.Prime video is not working.I buy this from Amazon as a prime member yet prime video doesn't work. I need this to be fixed. Have registered a complaint today.Netflix, Hotstar works well.

",2.0 out of 5 stars
Yash Tayal,"

  Amazing picture and sound quality for the price however Prime Video does not work Yes it does not work. Returned after breaking my head on how to run Prime Video even after the TV has  dedicated button on the remote and it's a preloaded app. What a time waste.

",1.0 out of 5 stars
Sureshjyo,"

  1) Color and brightness, overall display is very good2) Wifi connectivity is excellent3) If you want to enable 1080p display, you need to turn on both ""Game Mode & PC Mode"" in advanced video option.4) Sound quality is very good when you turn on ""DTS-StudioSound"" in sound option.5) Amazon Prime, Hotstar and Netflix can watch without any issues after update of Android. But the wifi net should be high-speed to enjoy the High quality streaming.Overall a very best TV in this price.I give 4.5 star out of 5.

",5.0 out of 5 stars
Bibhuti Bhusan Padhy,"

  Nice TV. Value for money.

",5.0 out of 5 stars
Raja,"

  Super sound and picture quality.  For install an APK file first download file explorer from play store. Then we install apk like Thop tv and more

",5.0 out of 5 stars
Vijaya Kumar,"

  Amazon and installation team did a good job in delivering(10th) and installing the TV as per schedule on 11-10-2019.Thanks.Coming to  performance of the tv, it coonected well with WiFi. Not yet tried other smart TV featuresThe picture quality is not good for a FHD TV.  Color reproduction is not good with pink skin tone, smudged picture, no sharp pictures. Quite surprised to note that It is like a early vintage CRT TV. Not able to identify distant objects in the screen.Sound is good with stereo and surround sound working well. But, loud annoying sound alerts while scrolling down any menu items in picture modes, sound styles and other settings is a cause of concern. It's only one day after delivery. Watch for 2/3 days and if the performance of the tv doesn't improve, think of returning for exchange.Now after checking it's is found that it's resolution is not 1920X1080. It's only 1280X720p. Not Full HD. Any takers.

",4.0 out of 5 stars
Verified Reviewer,"

  Bought a 43 inch variant as I needed a secondary tv. It's been a week now and I'm totally satisfied with the purchase. Was a bit disappointed when amazon prime refused to sign me in even after multiple attempts. Did some research and reset the tv from home screen - settings and wolla! Prime works like a charm now. Good buy for the price point. Extended warranty of 2 yrs is available through vu for a very reasonable price!

",5.0 out of 5 stars
Krishna Jaiswal,"

  Sound & picture quality good..New brand VU..Great features in this price range..Amazon delivery & installation is good (On Time)Competitive quality Against MI TV.

",4.0 out of 5 stars
Jatin Raheja,"

  Its the worst tv i ever experienced. Please dont buy. Its very slow. Its continuously hanging. Its irritating. Zero customer support. Even the engineer who visited also advised me that dont buy vu tv ever. He advisee me for Samsung or sony only. Dont go with feature list.go with quality only. If anyone wanna buy. I can sell mine at 50 percent price. Just 1 month old.

",1.0 out of 5 stars
Santhosh,"

  Update for my previous review:- Now all working fine. Need an option to select which should  open while switching on like HDMI port or Cable or To use internet .Quality of TV is good but it takes little bit more time while startup.

",4.0 out of 5 stars
Ankosh,"

  PROS:Picture Quality: Upscaling technology of of this TV is good. SD channels were quite decent. HD channels were great. Picture reproduction is a bit weird in few cases. Yellow appears orange. Picture quality is sharp and clear. You just need the setting correct. Enabled the PC/Game mode and motion blurred can be reduced to a great extent.Sound: Stereo sound is Loud and clear. However, beyond 25% volume, the sound cracks and not audible. Note, get your sound settings correct. You have a option to choose between 'stereo' sound and 'surround' sound. 'Stereo' is good for music whereas 'surround' is good for dialogues (movies/serials).Screen Cast: No lags. You will need to download 'Google Home' app. Offline content cannot be casted without a internet/Wifi though.Viewing angles: I viewed upto 45 degree angles, and it didnt disturb the picture qualityYoutube: Played excellently well. No lags at all. Music played in stereo sound setting were treat to my ears. The Bass effects are awesome.Boot time: TV restarts just under 15 secondsOTT apps: Works fine. No issuesCONS:Remote: No Bluetooth in remote, so you typing/searching is a pain. Downloading android TV remote app can partially take care of typing. You will need to carry 3 remotes (TV remote, DTH remote and Mobile remote app)Ultra HD: This is a Full HD TV (1k resolution), not Ultra HD (4k resolution). So if you are going to view this TV majorly for DTH channels and little bit of online contents, Full HD is sufficient.Overall, this is a decent Android TV, but sound cracks beyond 25% .

",3.0 out of 5 stars
Gopinath,"

  Purchased during recent Great Indian Sale (40 Inches),Pros:1.  Excellent Picture Quality with Full HD.2. Sound Quality is quite sufficient for a large living room.3. Wide viewing angle.4. 5 Start Power consumption.5. Most of the paid subscription Apps works after the initial firm ware upgrade.6. Built-in dedicated Keys helps in switching to apps with ease.Cons:1. Remote or TV doesn't support voice commands, requires an additional device.2. Typing with remote is a bit awkward, QWERTY keypad on remote would help a lot.

",5.0 out of 5 stars
aBHISHEK,"

  Amazon and VU trying to fool the customers. The advertisement for this TV having Amazon prime everywhere but it won't work on this TV.

",2.0 out of 5 stars
Shubhanshu,"

  Very happy to see its performance. Trust me it has Outstanding picture quality and inbuilt surround sound. Highly recommend to new buyer. This was 2nd time i purchase vu. 1st one is 3yr old and this recently in oct'19. Reviewed after 4day usage.New buyer don't worry if sound seems echo, pls change setting & u'll get clear sound from speaker.Installation service is pathetic. The service person make me fool nd asked to reschedule installation 1 week later. Lets see when he will come.

",5.0 out of 5 stars
sampath,"

  After update the Tv has come up with Amazon prime and is working as expected...Speaker stopped working after 1 month

",1.0 out of 5 stars
